date,open,high,low,close,vol,amount
2025-03-17,4020.64,4021.73,3992.26,3996.79,1622029.0,318904401920.0
2025-03-18,4011.78,4016.87,3995.96,4007.72,1402085.0,292739317760.0
2025-03-19,4004.83,4025.3,3989.51,4010.17,1444194.0,286075289600.0
2025-03-20,4011.06,4012.04,3969.93,3974.99,1337546.0,260020682752.0
2025-03-21,3966.51,3983.15,3904.77,3914.7,1659053.0,309348597760.0
2025-03-24,3916.11,3938.18,3907.2,3934.85,1522346.0,266051436544.0
2025-03-25,3937.9,3946.36,3921.53,3932.3,1404753.0,239246311424.0
2025-03-26,3930.21,3942.03,3916.86,3919.36,1311641.0,220943171584.0
2025-03-27,3911.38,3952.99,3903.65,3932.41,1267937.0,232173617152.0
2025-03-28,3930.78,3934.23,3907.38,3915.17,1263562.0,213379186688.0
2025-03-31,3905.98,3928.45,3872.4,3887.31,1667985.0,268480315392.0
2025-04-01,3892.78,3905.26,3882.4,3887.68,1403802.0,246041673728.0
2025-04-02,3884.42,3900.49,3877.16,3884.39,1130431.0,198267518976.0
2025-04-03,3843.42,3883.7,3843.42,3861.5,1425997.0,263684685824.0
2025-04-07,3675.2,3707.78,3514.12,3589.44,3125786.0,512971800576.0
2025-04-08,3597.99,3650.76,3583.87,3650.76,2801973.0,464021094400.0
2025-04-09,3606.1,3686.79,3587.34,3686.79,2623057.0,455031062528.0
2025-04-10,3749.13,3756.14,3708.82,3735.12,2272522.0,403842564096.0
2025-04-11,3730.31,3762.37,3708.46,3750.52,1687597.0,318535139328.0
2025-04-14,3772.04,3776.63,3754.03,3759.14,1644624.0,292571283456.0
2025-04-15,3756.48,3764.49,3737.85,3761.23,1340060.0,228604624896.0
2025-04-16,3757.88,3775.17,3721.6,3772.82,1563590.0,261711101952.0
2025-04-17,3755.09,3779.13,3749.5,3772.22,1223710.0,209012326400.0
2025-04-18,3760.04,3782.04,3754.41,3772.52,1029485.0,173109379072.0
2025-04-21,3768.14,3790.18,3763.14,3784.88,1213557.0,208085680128.0
2025-04-22,3780.11,3799.23,3778.08,3783.95,1256882.0,210200690688.0
2025-04-23,3803.43,3807.95,3780.52,3786.88,1319868.0,247117381632.0
2025-04-24,3787.46,3807.26,3775.21,3784.36,1171645.0,205483048960.0
2025-04-25,3792.08,3801.58,3780.78,3786.99,1245911.0,220535046144.0
2025-04-28,3786.39,3792.01,3772.8,3781.62,1251450.0,210635325440.0
2025-04-29,3776.0,3785.32,3768.03,3775.08,1115147.0,197462736896.0
2025-04-30,3775.83,3787.56,3768.76,3770.57,1436816.0,244820459520.0
2025-05-06,3794.38,3809.09,3782.78,3808.54,1585204.0,267937087488.0
2025-05-07,3861.58,3863.68,3814.99,3831.63,1611723.0,286010736640.0
2025-05-08,3820.55,3867.33,3816.26,3852.9,1249598.0,246987276288.0
2025-05-09,3848.62,3853.66,3836.53,3846.16,1193895.0,216697946112.0
2025-05-12,3866.53,3890.73,3859.03,3890.61,1533324.0,296122941440.0
2025-05-13,3915.59,3915.59,3890.69,3896.26,1473203.0,267586404352.0
2025-05-14,3894.84,3960.52,3890.65,3943.21,1720337.0,319465226240.0
2025-05-15,3934.03,3936.47,3904.91,3907.2,1380817.0,241464950784.0
2025-05-16,3898.67,3903.85,3874.86,3889.09,1184053.0,208835657728.0
2025-05-19,3882.57,3885.59,3866.57,3877.15,986434.0,184888164352.0
2025-05-20,3883.1,3911.47,3881.74,3898.17,1048852.0,201636708352.0
2025-05-21,3899.44,3928.63,3899.44,3916.38,1097913.0,217037733888.0
2025-05-22,3912.6,3923.02,3903.09,3913.87,1075970.0,197511413760.0
2025-05-23,3910.37,3931.55,3882.27,3882.27,1202774.0,232945385472.0
2025-05-26,3875.79,3884.54,3849.04,3860.11,1096012.0,208876797952.0
2025-05-27,3857.63,3865.43,3834.85,3839.4,985724.0,178466766848.0
2025-05-28,3843.07,3849.74,3833.96,3836.24,890310.0,162496364544.0
2025-05-29,3838.01,3869.79,3831.46,3858.7,1084718.0,209459609600.0
2025-05-30,3850.49,3858.61,3829.25,3840.23,1116722.0,199389757440.0
2025-06-03,3833.46,3863.3,3832.72,3852.01,1314030.0,226782773248.0
2025-06-04,3855.49,3875.86,3855.49,3868.74,1168038.0,211736182784.0
2025-06-05,3872.64,3883.13,3861.27,3877.56,1228781.0,231749271552.0
2025-06-06,3878.1,3889.46,3869.39,3873.98,1109879.0,202034741248.0
2025-06-09,3877.8,3894.65,3871.99,3885.25,1363062.0,262023675904.0
2025-06-10,3887.55,3897.46,3850.47,3865.47,1455638.0,263647559680.0
2025-06-11,3870.67,3911.61,3870.67,3894.63,1424147.0,257217708032.0
2025-06-12,3885.52,3900.04,3870.38,3892.2,1339987.0,260239589376.0
2025-06-13,3881.49,3889.16,3853.82,3864.18,1725395.0,309172338688.0
2025-06-16,3853.62,3876.17,3853.62,3873.8,1373418.0,246860988416.0
2025-06-17,3875.18,3880.42,3860.41,3870.38,1223425.0,220399812608.0
2025-06-18,3871.65,3881.35,3854.66,3874.97,1275286.0,230553862144.0
2025-06-19,3870.05,3872.94,3834.95,3843.09,1302806.0,234840178688.0
2025-06-20,3839.78,3856.48,3839.78,3846.64,1181510.0,213522825216.0
2025-06-23,3831.17,3867.59,3827.08,3857.9,1338009.0,232482209792.0
2025-06-24,3862.39,3914.16,3862.39,3904.03,1636561.0,294228721664.0
2025-06-25,3907.07,3963.04,3902.18,3960.07,1872136.0,361727262720.0
2025-06-26,3953.16,3964.48,3945.26,3946.02,1653162.0,328102838272.0
2025-06-27,3949.79,3969.26,3918.2,3921.76,1945579.0,343468244992.0
2025-06-30,3920.31,3940.36,3911.6,3936.08,1451702.0,288821444608.0
2025-07-01,3935.91,3946.25,3924.72,3942.76,1289593.0,236070338560.0
2025-07-02,3943.32,3952.14,3929.7,3943.68,1470630.0,246637854720.0
2025-07-03,3949.4,3971.62,3945.14,3968.07,1410040.0,269609566208.0
